,ID,best_score,best_params
115,V2_fc8_Subj1,0.7129251700680272,"{'max_iter': 500, 'C': 5}"
116,V2_fc8_Subj2,0.49523809523809526,"{'max_iter': 50, 'C': 5}"
117,V2_fc8_Subj3,0.710204081632653,"{'max_iter': 500, 'C': 5}"
118,V2_fc8_Subj4,0.7183673469387756,"{'max_iter': 500, 'C': 1}"
119,V2_fc8_Subj5,0.6095238095238095,"{'max_iter': 500, 'C': 5}"
120,V3_conv1_Subj1,0.42993197278911566,"{'max_iter': 100, 'C': 10}"
121,V3_conv1_Subj2,0.31972789115646255,"{'max_iter': 100, 'C': 1}"
122,V3_conv1_Subj3,0.49523809523809526,"{'max_iter': 500, 'C': 1}"
123,V3_conv1_Subj4,0.48299319727891155,"{'max_iter': 500, 'C': 1}"
124,V3_conv1_Subj5,0.3129251700680272,"{'max_iter': 100, 'C': 5}"
125,V3_conv2_Subj1,0.6884353741496598,"{'max_iter': 50, 'C': 1}"
126,V3_conv2_Subj2,0.5360544217687074,"{'max_iter': 500, 'C': 10}"
127,V3_conv2_Subj3,0.7374149659863946,"{'max_iter': 100, 'C': 5}"
128,V3_conv2_Subj4,0.7183673469387755,"{'max_iter': 500, 'C': 5}"
129,V3_conv2_Subj5,0.5238095238095238,"{'max_iter': 100, 'C': 1}"
130,V3_conv3_Subj1,0.8,"{'max_iter': 500, 'C': 5}"
131,V3_conv3_Subj2,0.616326530612245,"{'max_iter': 500, 'C': 10}"
132,V3_conv3_Subj3,0.8095238095238094,"{'max_iter': 500, 'C': 1}"
133,V3_conv3_Subj4,0.8081632653061224,"{'max_iter': 500, 'C': 5}"
134,V3_conv3_Subj5,0.6312925170068028,"{'max_iter': 50, 'C': 1}"
135,V3_conv4_Subj1,0.8040816326530613,"{'max_iter': 50, 'C': 10}"
136,V3_conv4_Subj2,0.6054421768707483,"{'max_iter': 500, 'C': 1}"
137,V3_conv4_Subj3,0.8081632653061224,"{'max_iter': 500, 'C': 5}"
138,V3_conv4_Subj4,0.7782312925170068,"{'max_iter': 500, 'C': 10}"
139,V3_conv4_Subj5,0.6312925170068028,"{'max_iter': 10, 'C': 10}"
140,V3_conv5_Subj1,0.798639455782313,"{'max_iter': 500, 'C': 1}"
141,V3_conv5_Subj2,0.6108843537414966,"{'max_iter': 100, 'C': 10}"
142,V3_conv5_Subj3,0.7931972789115646,"{'max_iter': 50, 'C': 5}"
143,V3_conv5_Subj4,0.7768707482993197,"{'max_iter': 500, 'C': 10}"
144,V3_conv5_Subj5,0.6244897959183674,"{'max_iter': 10, 'C': 10}"
145,V3_fc6_Subj1,0.6680272108843538,"{'max_iter': 500, 'C': 1}"
146,V3_fc6_Subj2,0.5265306122448979,"{'max_iter': 50, 'C': 10}"
147,V3_fc6_Subj3,0.7578231292517007,"{'max_iter': 500, 'C': 1}"
148,V3_fc6_Subj4,0.7210884353741497,"{'max_iter': 500, 'C': 10}"
149,V3_fc6_Subj5,0.5605442176870749,"{'max_iter': 500, 'C': 5}"
150,V3_fc7_Subj1,0.6149659863945579,"{'max_iter': 500, 'C': 5}"
151,V3_fc7_Subj2,0.4938775510204082,"{'max_iter': 100, 'C': 5}"
152,V3_fc7_Subj3,0.6748299319727892,"{'max_iter': 500, 'C': 10}"
153,V3_fc7_Subj4,0.6476190476190476,"{'max_iter': 100, 'C': 1}"
154,V3_fc7_Subj5,0.4979591836734694,"{'max_iter': 500, 'C': 5}"
155,V3_fc8_Subj1,0.5496598639455782,"{'max_iter': 500, 'C': 1}"
156,V3_fc8_Subj2,0.4530612244897959,"{'max_iter': 100, 'C': 10}"
