,level_0,level_1,level_2,SVC,Random Forest,Gradient Boosting,Logistic Regression
78,LOC,fc8,Subj4,0.2585034013605442,0.26258503401360545,0.20272108843537415,0.3129251700680272
79,LOC,fc8,Subj5,0.15510204081632653,0.17142857142857143,0.1346938775510204,0.2285714285714286
80,PPA,conv1,Subj1,0.07210884353741497,0.09387755102040816,0.07891156462585033,0.12789115646258503
81,PPA,conv1,Subj2,0.051700680272108834,0.06938775510204082,0.06122448979591837,0.09795918367346938
82,PPA,conv1,Subj3,0.0707482993197279,0.091156462585034,0.09387755102040816,0.16326530612244897
83,PPA,conv1,Subj4,0.05306122448979592,0.06938775510204082,0.07482993197278912,0.07619047619047618
84,PPA,conv1,Subj5,0.054421768707483,0.055782312925170066,0.05306122448979592,0.0707482993197279
85,PPA,conv2,Subj1,0.13333333333333333,0.12380952380952381,0.11020408163265305,0.1687074829931973
86,PPA,conv2,Subj2,0.10476190476190475,0.10204081632653063,0.08435374149659862,0.1306122448979592
87,PPA,conv2,Subj3,0.14421768707482993,0.1414965986394558,0.10340136054421767,0.17959183673469387
88,PPA,conv2,Subj4,0.10884353741496598,0.08163265306122448,0.06530612244897958,0.0965986394557823
89,PPA,conv2,Subj5,0.1142857142857143,0.08435374149659865,0.07482993197278912,0.11292517006802723
90,PPA,conv3,Subj1,0.19319727891156463,0.1346938775510204,0.11972789115646257,0.21632653061224488
91,PPA,conv3,Subj2,0.13061224489795917,0.10748299319727893,0.08027210884353742,0.12108843537414966
92,PPA,conv3,Subj3,0.1931972789115646,0.15374149659863948,0.12789115646258503,0.2272108843537415
93,PPA,conv3,Subj4,0.1061224489795918,0.10884353741496598,0.08979591836734695,0.10748299319727891
94,PPA,conv3,Subj5,0.11292517006802723,0.10204081632653061,0.07619047619047618,0.11564625850340136
95,PPA,conv4,Subj1,0.19999999999999998,0.13333333333333333,0.1142857142857143,0.21632653061224488
96,PPA,conv4,Subj2,0.13061224489795917,0.10884353741496598,0.06530612244897958,0.12653061224489795
97,PPA,conv4,Subj3,0.18639455782312925,0.15510204081632653,0.10068027210884355,0.2285714285714286
98,PPA,conv4,Subj4,0.11564625850340136,0.1183673469387755,0.06122448979591837,0.10884353741496597
99,PPA,conv4,Subj5,0.13605442176870747,0.10476190476190475,0.06802721088435375,0.1360544217687075
100,PPA,conv5,Subj1,0.22040816326530613,0.15510204081632653,0.12108843537414966,0.2231292517006803
101,PPA,conv5,Subj2,0.13061224489795917,0.12653061224489795,0.06802721088435373,0.13333333333333333
102,PPA,conv5,Subj3,0.2503401360544218,0.17551020408163268,0.11428571428571428,0.2272108843537415
103,PPA,conv5,Subj4,0.11700680272108842,0.09523809523809523,0.08571428571428572,0.10884353741496598
104,PPA,conv5,Subj5,0.13197278911564625,0.11564625850340136,0.07619047619047618,0.1238095238095238
105,PPA,fc6,Subj1,0.2462585034013605,0.19863945578231293,0.12380952380952381,0.25442176870748295
106,PPA,fc6,Subj2,0.13877551020408166,0.1346938775510204,0.09659863945578231,0.13605442176870747
107,PPA,fc6,Subj3,0.21632653061224488,0.18911564625850338,0.15374149659863945,0.24625850340136052
108,PPA,fc6,Subj4,0.1142857142857143,0.11564625850340136,0.08027210884353742,0.09931972789115646
109,PPA,fc6,Subj5,0.13877551020408163,0.12789115646258503,0.08027210884353742,0.14557823129251699
110,PPA,fc7,Subj1,0.23129251700680273,0.18911564625850336,0.1687074829931973,0.23129251700680273
111,PPA,fc7,Subj2,0.13605442176870747,0.11972789115646258,0.10612244897959185,0.14421768707482993
112,PPA,fc7,Subj3,0.24081632653061227,0.17823129251700678,0.1346938775510204,0.2503401360544218
113,PPA,fc7,Subj4,0.08843537414965986,0.10748299319727891,0.08979591836734693,0.11020408163265305
114,PPA,fc7,Subj5,0.14421768707482996,0.1142857142857143,0.08299319727891155,0.13197278911564628
115,PPA,fc8,Subj1,0.18231292517006806,0.2217687074829932,0.15918367346938775,0.25986394557823134
116,PPA,fc8,Subj2,0.11156462585034013,0.09523809523809522,0.10068027210884353,0.13877551020408163
117,PPA,fc8,Subj3,0.17687074829931973,0.2122448979591837,0.1619047619047619,0.24217687074829933
118,PPA,fc8,Subj4,0.08843537414965986,0.11564625850340135,0.09115646258503403,0.108843537414966
119,PPA,fc8,Subj5,0.09795918367346938,0.10884353741496598,0.07891156462585035,0.1401360544217687
120,V1,conv1,Subj1,0.21496598639455783,0.34149659863945575,0.30612244897959184,0.6244897959183674
121,V1,conv1,Subj2,0.1401360544217687,0.20408163265306126,0.19591836734693877,0.4530612244897959
122,V1,conv1,Subj3,0.26394557823129255,0.3659863945578231,0.3156462585034014,0.65578231292517
123,V1,conv1,Subj4,0.2340136054421769,0.43809523809523804,0.419047619047619,0.7251700680272108
124,V1,conv1,Subj5,0.2040816326530612,0.28299319727891153,0.25170068027210885,0.5591836734693877
125,V1,conv2,Subj1,0.7863945578231293,0.7374149659863944,0.5850340136054422,0.8761904761904761
126,V1,conv2,Subj2,0.6285714285714287,0.5360544217687075,0.48435374149659866,0.710204081632653
127,V1,conv2,Subj3,0.8272108843537415,0.7646258503401361,0.6761904761904762,0.9034013605442176
128,V1,conv2,Subj4,0.8761904761904761,0.7863945578231293,0.7061224489795919,0.9197278911564626
129,V1,conv2,Subj5,0.6829931972789117,0.6448979591836734,0.5292517006802722,0.7687074829931972
130,V1,conv3,Subj1,0.8217687074829934,0.7782312925170068,0.5809523809523808,0.9102040816326531
